iter	Passed	Remaining
852	7987	1376
853	7996	1367
854	8005	1357
855	8014	1348
856	8023	1338
857	8032	1329
858	8041	1320
859	8051	1310
860	8060	1301
861	8069	1291
862	8078	1282
863	8087	1272
864	8096	1263
865	8105	1254
866	8114	1244
867	8123	1235
868	8132	1226
869	8141	1216
870	8150	1207
871	8159	1197
872	8168	1188
873	8177	1178
874	8186	1169
875	8196	1160
876	8205	1150
877	8214	1141
878	8223	1132
879	8232	1122
880	8241	1113
881	8250	1103
882	8259	1094
883	8268	1085
884	8277	1075
885	8286	1066
886	8295	1056
887	8304	1047
888	8314	1038
889	8323	1028
890	8332	1019
891	8341	1009
892	8350	1000
893	8359	991
894	8369	981
895	8378	972
896	8387	963
897	8396	953
898	8404	944
899	8413	934
900	8422	925
901	8431	916
902	8440	906
903	8449	897
904	8458	887
905	8467	878
906	8476	869
907	8485	859
908	8494	850
909	8503	841
910	8513	831
911	8522	822
912	8530	812
913	8540	803
914	8549	794
915	8559	784
916	8568	775
917	8577	766
918	8586	756
919	8595	747
920	8604	738
921	8614	728
922	8623	719
923	8632	710
924	8642	700
925	8650	691
926	8659	681
927	8668	672
928	8677	663
929	8686	653
930	8695	644
931	8704	635
932	8713	625
933	8722	616
934	8731	607
935	8740	597
936	8749	588
937	8758	578
938	8767	569
939	8776	560
940	8785	550
941	8794	541
942	8804	532
943	8812	522
944	8821	513
945	8830	504
946	8839	494
947	8848	485
948	8857	476
949	8866	466
950	8875	457
951	8885	447
952	8893	438
953	8903	429
954	8912	419
955	8921	410
956	8930	401
957	8939	391
958	8948	382
959	8957	373
960	8966	363
961	8976	354
962	8985	345
963	8994	335
964	9003	326
965	9012	317
966	9021	307
967	9029	298
968	9039	289
969	9048	279
970	9057	270
971	9066	261
972	9075	251
973	9084	242
974	9093	233
975	9102	223
976	9110	214
977	9119	205
978	9128	195
979	9137	186
980	9145	177
981	9154	167
982	9163	158
983	9172	149
984	9181	139
985	9190	130
986	9199	121
987	9208	111
988	9217	102
989	9226	93
990	9235	83
991	9244	74
992	9253	65
993	9262	55
994	9270	46
995	9279	37
996	9288	27
997	9297	18
998	9306	9
999	9315	0
